Resource Name,Org,Date,URL,Summary,Tool Type,,Policy Area,Region,,Accessibility Score,Abundance Alignment,Strengths
Housing Policy Library,NYU Furman Center Housing Solutions Lab,2025,https://www.localhousingsolutions.org/housing-policy-library/,"The Housing Policy Library contains information on housing policies that may be of interest to cities, towns, and counties.",Catalog or Library,,"Land Use, Rental / Tenant Protections, Climate Resiliency, Homelessness Prevention, Homeownership",National,,,Unlock Supply,Expansive list of policy approaches policy makers can use to draw inspiration for new strategies to increase supply
Emergency Rental Assistance Priority Index,Urban Institute,2023,https://www.urban.org/data-tools/mapping-neighborhoods-highest-risk-housing-instability-and-homelessness,"Map of census tracts that shows eviction risk percentiles, ranking neighborhoods relative to others across the broader state",Interactive map,,Rental / Tenant Protections,National,,,Service Delivery,Tool that can help policy makers identify which neighborhoods have the highest need of assistance
Puget Sound Zoning Simulator,Urban Institute,2023,https://apps.urban.org/features/affordable-housing-shortage-and-zoning/,"Walk through of proposed policies including increased density, adding missing middle, doubling housing near transit, and legalizing multi-family housing in commercial or retail zones. The tool predicts how many units of housing would result from enacting any of the above policies. ",Simulator,,"Land Use, Financing Projects, Innovation in Building",West,,,Human Centered Design,Useful to demonstrate tradeoffs and outcomes of upzoning
"The State of the Nation's Housing 2025  ",Joint Center for Housing Studies of Harvard,2025,https://www.jchs.harvard.edu/state-nations-housing-2025,"Interactive maps and data on changes in housing data, including cost burden, homelessness, and renovation statistics. The Joint Center on Housing focuses on market conditions, interstate migration, and the quality and affordability of the current housing stock.","Research Brief, Interactive map",,"Homeownership, Rental / Tenant Protections, Land Use, Climate Resiliency, Homelessness Prevention",National,,,Service Delivery,Timely research on market dynamics affecting housing that can help local governments adjust their housing strategy to respond to changes in migration and building costs.
The State of the Nation's Housing 2025 Fact Sheet,Joint Center for Housing Studies of Harvard,2025,https://drive.google.com/file/d/1DGUlhJvfXkIOp2ctlsX2SbFUy2yByuXT/view?usp=drive_link,"3 pager on highlights from the Joint Center for Housing Studies' annual report covering trends in housing cost burden, population demographics, and rates of homelessness.",Research Brief,,"Rental / Tenant Protections, Homelessness Prevention, Homeownership, Land Use",National,,,Service Delivery,Timely research on market dynamics affecting housing that can help local governments adjust their housing strategy to respond to changes in migration and building costs.
Where Households Using Federal Assistance Live,Center for Budget and Policy Priorities,2025,https://www.cbpp.org/research/housing/map-where-households-using-federal-rental-assistance-live,"An interactive map of households recieving federal rental assistance in the 100 most populous metro areas. Programs include Housing Choice Vouchers, Section 8 Project-Based Rental Assistance, and Public Housing.",Interactive map,,Rental / Tenant Protections,National,,,Service Delivery,"Helps policy makers visualize what neighborhoods are rely on rental assistance, which can inform their housing strategy."
Urban Land Institute Learning,Urban Land Institute,2025,https://learning.uli.org/?_gl=1*1n7ufg0*_gcl_au*ODIwMTIxMjQ3LjE3NDg4ODkxNjY.*_ga*MTk1OTkxNjk5OS4xNzQ4ODg5MTY4*_ga_68JJQP7N7N*czE3NDg4OTIzMDYkbzIkZzEkdDE3NDg4OTQ2MDAkajQ4JGwwJGgw,"Live online & on-demand courses for purchase on real estate development, public private partnerships, pro-forma and more.",Training & Consulting,,"Financing Projects, Cost of Building, Land Use",National,,,Service Delivery,"For purchase training on technical aspects of housing development, higher touch opportunity to train staff "
Gentrification Comparison Tool,Enterprise Community Partners,2019,https://www.enterprisecommunity.org/learning-center/resources/gentrification-comparison-tool,Map of 93 US cities broken down by census tract and color coded to compare three definitions of gentrification over four decades.,Interactive map,,"Financing Projects, Rental / Tenant Protections, Homeownership",National,,,Service Delivery,Helpful to visualize how neighborhoods have changed over time and inform housing strategy
Southeast Rural Rental Preservation Academy,Enterprise Community Partners,2022,https://www.enterprisecommunity.org/learning-center/resources/southeast-rural-rental-preservation-academy,"Free Training on how to acquire or preserve USDA Rural Developments and other subsidized and affordable housing in the rural Southeast US. ",Training & Consulting,,"Rental / Tenant Protections, Financing Projects",South,,,Service Delivery,"For appropriate housing markets, this tool can help policy makers develop skills to preserve rural developments"
Building a Homelessness Prevention System,Results For America,2025,https://drive.google.com/file/d/1vnuouTHJoiC1HFuhbLtcHS0SCuU-1s42/view?usp=drive_link,"A step-by-step guide to developing a Homelessness Prevention System, following the case example of Santa Clara County, CA.","Guide or Toolkit, Case study",,Homelessness Prevention,West,,,Service Delivery,Detailed walk through of how Santa Clara County set up processes for cross-departmental collaboration and empowered frontline employees to use their discretion to achieve their goals
Shifting Dollars Technical Assistance,Results For America,2025,https://results4america.org/shifting-dollars-technical-assistance%E2%84%A0/,Consulting to shift funds towards high-impact solutions that increase economic mobility,Training & Consulting,,Financing Projects,National,,,Service Delivery,"Key offering from Results For America, technical assistance on public spending for policy makers "
Increasing Overall Housing Supply,Results For America,2024,https://catalog.results4america.org/strategies/overall-housing-supply,"Guidance on developing a strategy to increase overall housing supply, including evidence, community and market considerations, key policy design attributes, tips for stakeholder engagement, and best practices for implementation.",Guide or Toolkit,,"Land Use, Financing Projects, Cost of Building, Climate Resiliency, Homelessness Prevention",National,,,Unlock Supply,Research to support policymaker's housing strategy
What is a Form Based Code?,Smart Growth America,2025,https://www.smartgrowthamerica.org/knowledge-hub/resources/what-is-a-form-based-code/,"An introduction to Form Based Code, an alternative to traditional zoning.",Guide or Toolkit,,Land Use,National,,,Human Centered Design,Research and guidance to inform whether form based code is a viable option for a jurisdiction. Simplified code can ease development process among other benefits
Zoned In: The Economic Benefits of Form Based Code,Smart Growth America,2021,https://drive.google.com/file/d/1TIblOIgoCsY-3P0KZA7mrz4bXH169RvU/view?usp=drive_link,"A detailed description of Form Based Code and analysis of 4 local jurisidictions. Compares the economic data (tax revenue and rate of increased costs) for form-based and traditionally zoned developments in each city. ","Research Brief, Case study",,Land Use,National,,,Human Centered Design,Research and guidance to inform whether form based code is a viable option for a jurisdiction. Simplified code can ease development process among other benefits
City of Asheville Implementation Report,City of Asheville,2019,https://drive.google.com/file/d/1Wp0t8jRz__DuIEei-HioB_PBND7prUts/view?usp=drive_link,How the City of Asheville employed 12 strategies to increase affordable housing using funds from a local bond initiative,Case study,,Financing Projects,South,,,Service Delivery,Case example of implementation of bond funds for increeasing supply
"Brownfield Tax Increment Financing ",City of East Grand Rapids,2024,https://drive.google.com/file/d/1goQgg8jeXdPiJkkyiLsSTXzUubf7RxUM/view?usp=drive_link,"A report detailing the benefits of starting up a local brownfield authority to oversee the use of Tax Increment Financing to build workforce housing in Grand Rapids, MI",Case study,,Financing Projects,Midwest,,,Service Delivery,"Guidance around how a housing authority can use tax revenue to produce workforce housing. "
Filling the Gap Tool: Unlocking Housing Finance,National League of Cities,2025,https://www.nlc.org/resource/filling-the-gap-unlocking-housing-finance-tool/,A collection of state and local funding to preserve or produce more affordable housing. Includes a database of case studies.,Guide or Toolkit,,Financing Projects,National,,,Unlock Supply,Positions housing development finance as a key driver of the gap between supply and demand.  Provides several strategies for reducing finance gap and increasing supply of housing.
Healthy Housing Workforce Toolkit,National League of Cities,2024,https://www.nlc.org/resource/healthy-housing-workforce-toolkit/,"A toolkit for local policymakers seeking to strengthen the construction workforce pipeline. Includes 8 steps to assess, develop, and evaluate workforce development in housing construction. ",Guide or Toolkit,,"Rental / Tenant Protections, Financing Projects",National,,,Unlock Supply,"Shortages in construction labor are a common barrier to housing supply, and this toolkit offers ways for electeds to address the disparity."
Housing Supply Accelerator Field Guide,National League of Cities,2024,https://drive.google.com/file/d/1hnLJbwpJ-yvLd5uYgBCpG-kQmStybbFJ/view?usp=drive_link,Comprehensive guide to increasing the production of housing.,Guide or Toolkit,,"Land Use, Innovation in Building, Financing Projects",National,,,Unlock Supply,"Detailed guide with advice around zoning reform in service of increasing housing supply. "
Making the Case for Healthy and Safe Housing Policies: A Messaging Toolkit,National League of Cities,2020,https://www.nlc.org/resource/making-the-case-for-healthy-and-safe-housing-policies-a-messaging-toolkit/,Key messaging tips and best practices for building local support for reformed housing policy,Guide or Toolkit,,Land Use,National,,,Unlock Supply,Electeds can use this tool to build political support for increasing the supply of housing
Landlord Engagement Toolkit,National League of Cities,2023,https://www.nlc.org/resource/landlord-engagement-toolkit/,"Resources and guidance for building relationships with local, ""mom and pop"" landlords with the goal to prevent eviction, increase housing stability, and support both renters and landlords.",Guide or Toolkit,,Rental / Tenant Protections,National,,,Service Delivery,"Cities can strengthen their relationship with landlords, irmproving service delivery, compliance, and the quality of their overall housing strategy."
Local Eviction Prevention and Policy Tool,National League of Cities,2023,https://www.nlc.org/resource/local-eviction-prevention-policy-and-program-tool/,Interactive tool capturing eviction related policies for more than 400 cities.,Interactive map,,"Rental / Tenant Protections, Homelessness Prevention",National,,,Human Centered Design,"While they're unlocking supply, cities can use this tool to examine and adjust their programs and policies around eviction. "
"Designing and Implementing Local Eviction Policies and Programs ",National League of Cities,2023,https://www.nlc.org/wp-content/uploads/2024/01/Designing-and-Implementing-Local-Eviction-Policies-and-Programs.pdf,Implementation guidance around policies that address eviction.,Guide or Toolkit,,"Rental / Tenant Protections, Homelessness Prevention",National,,,Human Centered Design,"While they're unlocking supply, cities can use this tool to examine and adjust their programs and policies around eviction. "
Emergency Rental Assistance Toolkit: “How-To” Resources for Equitable & Effective Programs,National League of Cities,2022,https://www.nlc.org/resource/emergency-rental-assistance-toolkit-how-to-resources-for-equitable-effective-programs/,Step by step approach for supporting both local tenants and landlords using an emergency rental assistance program.,Guide or Toolkit,,"Rental / Tenant Protections, Homelessness Prevention",National,,,Human Centered Design,"Along with increasing supply, cities can design rental assistance programs that are more intuitive and responsive to users."
National Zoning Atlas,Land Use Atlas,2025,https://www.zoningatlas.org/atlas,"Map of the zoning specifics for nearly 33,000 jurisdictions. Also provides ""zoning snapshots"" with dashboard-like metrics on land use categories for localities.",Interactive map,,Land Use,National,,,Unlock Supply,"Useful for small teams who may not have access to sophisticated data analysis tools "
Zoning Reform Tracker,Institute of Othering & Belonging  and California Department of Housing and Community Development,2023,https://belonging.berkeley.edu/zoning-reform-tracker,"Map and Database of successful municipal zoning reform linking to the policies and codes each jurisdiction used, including ADUs, TODs, and Plex reform.","Interactive map, Model Policy",,Land Use,National,,,Unlock Supply,Policy makers can draw inspiration on zoning refrom from model policies from other cities that have enacted reform using this database.
Mixed-Income Public Development Review,Center for Public Enterprise,2024,https://drive.google.com/file/d/1WO-KqoFlFDYRqllVM2d7A98o1BoVZ1Bi/view?usp=drive_link,"Overview of public-private partnership to overcome financing setbacks in mixed-income housing. Examines revolving loan fund in Montgomery County, Maryland.","Research Brief, Case study",,Financing Projects,"Northeast, National",,,Unlock Supply,"Flexible alternative to legacy finance sources like LIHTC, resulting in increased access to affordable housing "
Residential Year Built and Land Use map,AEI,2025,https://heat.aeihousingcenter.org/toolkit/year_built_map,Map displaying the age of single family homes across the US.,Interactive map,,Land Use,National,,,Service Delivery,Policy makers can use this data to evaluate what parts of their jurisdiction might need renovations to remain suitable and prevent substantial decreases in current supply.
National and Metro Housing Market Indicators,AEI,2025,https://www.aei.org/national-and-metro-housing-market-indicators/,Dashboard of market stats over time at the city or state level.,Interactive map,,"Land Use, Homeownership",National,,,Service Delivery,Policy makers can refer to the data here to inform their housing priorities.
Housing in the Heartland: a messaging guide,Housing Narrative Lab,2024,https://drive.google.com/file/u/2/d/1gQzM2Qvz_i9x0ppak6t5FjxtMy98hFGc/view?usp=drive_link,"Public opinion research on housing development in Tulsa, OK: Omaha and Lincoln, Nebraska; and the State of  Minnesota. Includes proven pro-housing messages for each location.",Guide or Toolkit,,"Land Use, Homelessness Prevention",Midwest,,,Unlock Supply,Region-specific messaging that can help elected leaders build support for increasing supply
ABC's of ADUs,AARP,2019,https://www.hcd.ca.gov/policy-research/docs/adu-guide-web-singles.pdf,"A comprehensive explainer that includes accessible language to help gain support of ADUs, analysis of who benefits from ADUs, Model ADU configurations, and some policy guidelines for legalizing and encouraging ADU construction.",Guide or Toolkit,,Land Use,National,,,Unlock Supply,Brochure helpful for encouraging ADU construction
Housing & Public Engagement Toolkit for California,Institute for Local Government,2020,https://housingtoolkit.ca-ilg.org/,"Toolkit providing evidence and messaging to help local officials engage the public. Case studies focused in California. ",Guide or Toolkit,,Land Use,West,,,Service Delivery,Guidance for productive public deliberation on housing development
Taxonomy of ADU requirements,Mercatus Center,2023,https://drive.google.com/file/d/1Qe8-k5aXCdKj24_YGx7xQ9QjxucaHaVQ/view?usp=drive_link,"Brief on ADU laws across the United States, identifies 3 ""poison pill"" policies that prevent ADUs from meaningfully addressing housing scarcity, and some comparison of state laws. ",Research Brief,,Land Use,National,,,Unlock Supply,Advice on designing ADU policy that yields more housing
Housing + Transportation Index,Housing + Transportation Index,2025,https://htaindex.cnt.org/map/,An interactive map showing the combined costs of housing and transportation as a % of income.,Interactive map,,Land Use,National,,,Unlock Supply,Useful mapping tool for policy makers designing transit oriented development plans
Policy Map,Policy Map,2025,https://www.policymap.com/newmaps/e/www,"Map and data analytics tool with thousands of indicators. Free version presents substantial American Community Survey data like home value, property tax, permits issued, homeowner and renter demographics, cost burden, etc.   ",Interactive map,,Land Use,National,,,Service Delivery,"Easy to use data interface, can assist policy makers with limited data analysis capacity"
"Build Homes, Expand Opportunity",Bush Center,2025,https://gwbushcenter.imgix.net/wp-content/uploads/Build-Housing-Expand-Opportunity_FINAL_4.4.2025.pdf,"Detailed analysis of 25 fastest growing American cities with guidance for creating more ""in-demand"" cities, towns, and neighborhoods. ",Research Brief,,Financing Projects,National,,,Unlock Supply,
Minimum Lot Size,Mercatus Center,2023,https://drive.google.com/file/d/1z4UjoIdSCx2-MoMEgKE14rL0bqNFtVjX/view?usp=drive_link,A policy brief that evaluates the impact of minimum lot size requirements on housing production.,Research Brief,,Financing Projects,"National, South",,,Unlock Supply,"Evidence policymakers can leverage to adjust zoning to enable smaller, denser housing units."
The Case for Housing Innovation,Ivory Innovations + Terner Labs + Enterprise Community Partners,2025,https://www.enterprisecommunity.org/sites/default/files/2025-01/The-Case-for-Innovation-in-Housing.pdf,"9 Case studies showcasing innovation in equitable access to homeownership, industrialized construction, and homelessness.","Case study, Research Brief",,"Financing Projects, Innovation in Building, Homelessness Prevention, Homeownership","National, South",,,Unlock Supply,"Policymakers can use these case studies to draw inspiration for new  approaches to construction and wrap around homelessness services, and get a look at the up and coming organizations that can help cities to achieve ambitious goals."
Tiny Homes Resource Map,Tiny Home Industry Association,2025,https://tinyhomeindustryassociation.org/map/,A map of state and local regulations and resources for tiny homes and homes on wheels.,Catalog or Library,,"Innovation in Building, Land Use",National,,,Unlock Supply,"Tiny homes and homes on wheels can be a cost effective way to increase housing supply, but there are local and state regulations that complicate this strategy. This resource map provides resources for electeds interested in loosening regulations around tiny homes specifically. "
Bringing the Housing Shortage into Sharper Focus,Urban Institute,2025,https://www.urban.org/sites/default/files/2025-07/Bringing-Housing-Shortage-Into-Sharper-Focus.pdf,A brief that compares housing shortfall estimates and provides a new framework for analyzing and estimating housing demand by localized income data.,Research Brief,,"Land Use, Homeownership, Rental / Tenant Protections","National, South",,,Unlock Supply,Understanding how shortage estimates are calculated can provide insight into the state of housing supply.
"Avoiding ""Poison Pills"" in ADU Law",Mercatus Center,2025,https://www.mercatus.org/research/policy-spotlights/avoiding-poison-pills-accessory-dwelling-unit-adu-law,"A brief discussing how owner-occupancy, parking requirements and discretionary ADU permit reviews can dampen the impact of ADU laws in increasing housing supply. ",Research Brief,,Land Use,National,,,Unlock Supply,"Offers tweaks lawmakers can implement to further unencumber ADU production. "
Is Inclusionary Zoning Inclusionary?,RAND,2012,https://www.rand.org/content/dam/rand/pubs/technical_reports/2012/RAND_TR1231.pdf,"Research brief examining the equity outcomes of inclusionary zoning in Montgomery County; Santa Fe, NM; Santa Monica, CA; Davidson, NC; Denver, CO; Boulder, CO.","Research Brief, Case study",,Land Use,"National, South",,,Unlock Supply,"Evidence that Inclusionary Zoning has helped low-income homeowners more than low-income renters, which can help policy makers make informed decisions about how to structure affordable housing programs or plans that might include Inclusionary zoning."
Modeling Inclusionary Zoning's Impact on Housing Production in LA,Terner Center for Housing Innovation and Lewis Center for Regional Policy Studies,2024,https://drive.google.com/file/d/1lAHpjhFXJRu0A7ZogrYhn0nFmUKCUvza/view,"A brief analyzing the tradeoffs of inclusionary zoning—modeling the ideal percentage of below market rate housing to maximize private subsidy while maintaining production of market rate housing. ","Research Brief, Case study",,Land Use,West,,,Unlock Supply,"This research brief provides parameters for inclusionary zoning that maintain the intention of the policy, without dampening supply. "
Strategies to Lower Cost and Speed Housing Production: A Case Study of San Francisco 833 Bryant Street Project,Terner Center for Housing Innovation,2021,https://ternercenter.berkeley.edu/wp-content/uploads/2021/02/833-Bryant-February-2021.pdf,A new model for building permanent supportive housing at a lower cost.,"Case study, Research Brief",,"Financing Projects, Homelessness Prevention",West,,,Unlock Supply,"Case example of the advantages of a ministerial approval process, which is one of the ways governmetns can streamline their permitting processes. "
"Addressing Vacant and Abandoned properties: Genesee County, MI",Results for America,2023,https://catalog.results4america.org/case-studies/addressing-vacant-and-abandoned-properties-genesee-county-mi,Example of publicly owned and managed land bank.,Case study,,Financing Projects,Midwest,,,Unlock Supply,
"Community Land Trust: Houston, TX",Results for America,2022,http://catalog.results4america.org/case-studies/clt-houston,Challenges and solutions from the largest city-funded community land trust in the United States.,Case study,,Financing Projects,South,,,Unlock Supply,"For cities considering using a Land Trust to make new housing affordable to residents, this case study examines the advantages and challenges of this approach."
"Charlotte/Mecklenburg County, North Carolina, reduces veteran homelessness by 30%",Community Solutions,2020,https://community.solutions/case-studies/charlotte-mecklenburg-county-north-carolina-reduces-veteran-homelessness-by-30/,"How a county used data, relationship building, and process streamlining to reduce homelessness.",Case study,,Homelessness Prevention,South,,,Service Delivery,"Example of a city team that asked themselves ""does this red tape need to exist?"" and adjusted accordingly."
Community Solutions' Homelessness Policy Recommendations,Community Solutions,2024,https://community.solutions/community-solutions-homelessness-policy-recommendations-2/,10 tips for local governments to make homelessness rare and brief.,Guide or Toolkit,,Homelessness Prevention,National,,,Human Centered Design,"Shortlist of homeless policies that produce results, based on 10 years of experience in the field."
"Homelessness prevention system: Santa Clara County, CA",Results for America,2023,https://catalog.results4america.org/case-studies/homelessness-prevention-system,"How Santa Clara County coordinated local governments, non-profit service providers, and private funders to develop a homelessness prevention system to keep low-income residents housed. ",Case study,,Homelessness Prevention,South,,,Service Delivery,"Detailed case study of how the county was able to break down silos, reduce duplicative work, consolidate funding streams, and empower frontline staff to use their expertise and discretion to achieve desired outcomes. "
"How Fairfax, Virginia, diverted 74% of participants from homelessness",Community Solutions,2023,https://community.solutions/case-studies/how-fairfax-virginia-diverted-74-of-participants-from-homelessness/,Fairfax County developed a diversion program to assist people in immediately returning to housing.,Case study,,Homelessness Prevention,South,,,Human Centered Design,"Example city leaders can reference in building out a comprehensive homelessness prevention strategy that meets residents' needs. "
How Six Cities are Creating Missing Middle Housing,Regional Plan Association,2024,https://rpa.org/work/reports/how-six-cities-are-creating-missing-middle-housing,"Data, rationale, and strategies for increasing the variety of ""missing middle"" housing typologies.",Case study,,Land Use,National,,,Unlock Supply,"Case examples of cities that have addressed ""Missing Middle"" housing that electeds can reference to build support for loosening zoning regulation. "
Improving Impact Fees in California: Rethinking the Nexus Study Requirement,Terner Center for Housing Innovation,2020,https://ternercenter.berkeley.edu/wp-content/uploads/2020/12/Nexus_Studies_November_2020.pdf,"Guidance around conducting ""nexus studies"" and methodology for determining fees for new housing developments.","Research Brief, Case study",,Innovation in Building,West,,,Service Delivery,Electeds can use this resource to evalute the trade offs of development fees and determine if they're appropriately aligned with goals for new housing development
Elevators,Center for Building in North America,2024,https://admin.centerforbuilding.org/wp-content/uploads/2024/12/Elevatorsexecutivesummary.pdf,"Insights into the ways American policy and workforce environments drive up the cost of installing elevators in apartment buildings, compared to Europe.",Research Brief,,Innovation in Building,National,,,Unlock Supply,Building-code lever that policy makers can pull to reduce construction costs to increase supply.
Single-Stairway Apartment Buildings Have Strong Safety Record,Pew,2025,https://www.pew.org/en/research-and-analysis/reports/2025/02/small-single-stairway-apartment-buildings-have-strong-safety-record,"A comprehensive review stair requirements in local building code, finding four-to-six story buildings with a single stairwell are at least as safe as building types. ",Research Brief,,Innovation in Building,National,,,Unlock Supply,Building-code lever that policy makers can pull to reduce construction costs to increase supply.
"How do they do it? ",National Association of Home Builders,2016,https://www.nahb.org/-/media/NAHB/advocacy/docs/state-and-local/how-did-they-do-it.pdf?rev=9476211b36684475b32477aa924d4997&hash=1D35C30D990C50905FC199B49C5CF3B8,"12 detailed case studies on how cities of different sizes, government styles, and housing markets have improved housing affordability. ","Research Brief, Case study",,"Land Use, Financing Projects, Innovation in Building",National,,,Unlock Supply,Building-code lever that policy makers can pull to reduce construction costs to increase supply.
Designing for Natural Hazards,US Department of Housing and Urban Development,2023,https://www.huduser.gov/portal/publications/Designing-for-Natural-Hazards-Series.html,"Practical guidelines for city officials, builders, and developers to design and construct housing that's resilient to wind, water, fire, earthquakes, and other hazards.",Research Brief,,"Land Use, Climate Resiliency",National,,,Service Delivery,
Chicago Parking Reform,City of Chicago,2024,https://www.chicago.gov/city/en/sites/cut-the-tape/home/PolicyInitiatives/ParkingReform.html,An explainer covering Chicago's approach to eliminating parking requirements for new commercial and residential developments.,"Case study, News Article or Blog",,Land Use,Midwest,,,Unlock Supply,
Introducing the Urban Rooming House,Neiman Taber,2024,https://neimanarchitects.blogspot.com/2024/05/introducing-urban-rooming-house.html,"Development plans and models for micro-housing that combines the space and cost efficiency of congregate housing with the dignity and privacy of a multi-bedroom apartment. ","Case study, News Article or Blog",,"Innovation in Building, Land Use","National, West",,,Unlock Supply,
Innovating in Atlanta: A Social Housing Model for the US,Harvard's Data-Smart City Solutions,2025,http://datasmart.hks.harvard.edu/innovating-atlanta-social-housing-model-us,"A new model for affordable housing that coordinates public and non-profit organizations, successfully implemented by the Affordable Housing Strike Force in Atlanta.",Case study,,Financing Projects,South,,,Service Delivery,Example of successful consolidatation of public property for new development
Launching Online Permitting & Licensing Portal Powerd by Open Gov,City of Scranton,2022,https://scrantonpa.gov/launching-online-permitting-licensing-portal-powered-by-opengov/,Overview of the city of Scranton's digital permitting process.,"News Article or Blog, Case study",,Innovation in Building,Northeast,,,Service Delivery,"Moving permitting online not only increased efficiency, but also improved the user experience."
Connected Communities Ordinance,City of Chicago,2023,https://www.chicago.gov/city/en/sites/equitable-transit-oriented-development/home/connected-communities-ordinance.html,Chicago is building on its recent succes in increased density and infill projects under a Transit Oriented Development plan. This explainer describes how the city is aiming to improve the distributional impact through people-centered design.,"Case study, Model Policy",,Land Use,Midwest,,,Human Centered Design,Describes how one city approached engaging the community to build support for increased density.
"Despite Challenges, Adaptive Reuse Can Elevate Our Neighborhoods",Building Salt Lake,2024,https://buildingsaltlake.com/despite-challenges-adaptive-reuse-can-elevate-our-neighborhoods-opinion/,"A look into the challenges and opportunities adapting commercial or office space into new housing, emphasizing due dilligence to best understand the constraints and costs of the conversion.","News Article or Blog, Case study",,"Innovation in Building, Land Use","West, National",,,Unlock Supply,Helpful for policymakers considering whether or not to take on an adaptive reuse project as a means of unlocking supply
Home Repair and Homeowner Rehabilitation Assistance Programs,NYU Furman Center Housing Solutions Lab,2025,https://www.localhousingsolutions.org/housing-policy-library/homeowner-rehabilitation-assistance-programs/,Program guildelines designed to help residents keep their properties up to code and prevent the displacement of low-income households.,"Research Brief, Case study",,"Homelessness Prevention, Homeownership",Northeast,,,Unlock Supply,Keeping available housing units online is key to building supply.
Rental Registries,NYU Furman Center Housing Solutions Lab,2024,http://localhousingsolutions.org/housing-policy-library/rental-registries/,Resource for local governments considering establishing or expanding a rental registery.,"Research Brief, Case study",,"Rental / Tenant Protections, Homelessness Prevention",National,,,Unlock Supply,Research on how rental registries impact the supply of affordable housing.
Taxing Very High-Value Home Sales Is an Equitable and Effective Strategy to Raise Revenue and Fund Affordable Housing,Center on Budget and Policy Priorities,2024,"https://www.cbpp.org/research/housing/taxing-very-high-value-home-sales-is-an-equitable-and-effective-strategy-to-raise#:~:text=to%20affordable%20housing.-,Progressive%20real%20estate%20transfer%20taxes%20on%20high%2Dvalue%20homes%20serve,of%20color%20with%20low%20incomes.","Evidence for using a ""mansion tax"" to offset the cost of providing affordable housing.",Research Brief,,Financing Projects,National,,,Unlock Supply,"Helpful evidence for policymakers investigating alternative funding structures. "
