Resource Name,Org,Date,URL,Summary,Tool Type,,Policy Area,Region,,Accessibility Score,Abundance Alignment,Strengths
Action Lab,Strong Towns,2025,https://actionlab.strongtowns.org/hc/en-us,"Searchable database of resources on housing, zoning, and growth",Catalog or Library,,Land Use,National,,,,
Where Households Using Federal Assistance Live,Center for Budget and Policy Priorities,2025,https://www.cbpp.org/research/housing/map-where-households-using-federal-rental-assistance-live,"An interactive map of households recieving federal rental assistance in the 100 most populous metro areas. Programs include Housing Choice Vouchers, Section 8 Project-Based Rental Assistance, and Public Housing.",Interactive map,,Rental / Tenant Protections,National,,Medium,,Accompanied by a comprehensive report. May be useful to policymakers determining where to focus building affordable housing
Urban Land Institute Learning,Urban Land Institute,2025,https://learning.uli.org/?_gl=1*1n7ufg0*_gcl_au*ODIwMTIxMjQ3LjE3NDg4ODkxNjY.*_ga*MTk1OTkxNjk5OS4xNzQ4ODg5MTY4*_ga_68JJQP7N7N*czE3NDg4OTIzMDYkbzIkZzEkdDE3NDg4OTQ2MDAkajQ4JGwwJGgw,"Live online & on-demand courses for purchase on real estate development, public private partnerships, pro-forma and more.",Training & Consulting,,"Financing Projects, Cost of Building, Land Use",National,,"Low, resource is not free, but discounted for public sector employees",,"Comprehensive, interactive, provides access to experts and network of learners"
Gentrification Comparison Tool,Enterprise Community Partners,2025,https://www.enterprisecommunity.org/learning-center/resources/gentrification-comparison-tool,Map of 93 US cities broken down by census tract and color coded to compare three definitions of gentrification over four decades.,Interactive map,,"Financing Projects, Rental / Tenant Protections, Homeownership",National,,,,
Southeast Rural Rental Preservation Academy,Enterprise Community Partners,2025,https://www.enterprisecommunity.org/learning-center/resources/southeast-rural-rental-preservation-academy,Free Training on how to acquire or preserve USDA Rural Developments and other subsidized and affordable housing in the rural Southeast US. ,Training & Consulting,,"Rental / Tenant Protections, Financing Projects",South,,"Medium, free but time intensive",,
Building a Homelessness Prevention System,Results For America,2025,https://drive.google.com/file/d/1vnuouTHJoiC1HFuhbLtcHS0SCuU-1s42/view?usp=drive_link,"A step-by-step guide to developing a Homelessness Prevention System, following the case example of Santa Clara County, CA.",Guide or Toolkit,,Homelessness Prevention,National,,"High, but must register email to access",,Includes checklist and messaging to win over skeptics.
Shifting Dollars Technical Assistance,Results For America,2025,https://results4america.org/shifting-dollars-technical-assistance%E2%84%A0/,Consulting to shift funds towards high-impact solutions that increase economic mobility,Training & Consulting,,Financing Projects,National,,,,
Increasing Overall Housing Supply,Results For America,2024,https://catalog.results4america.org/strategies/overall-housing-supply,"Guidance on developing a strategy to increase overall housing supply, including evidence, community and market considerations, key policy design attributes, tips for stakeholder engagement, and best practices for implementation.",Guide or Toolkit,,"Land Use, Financing Projects, Cost of Building, Climate Resiliency, Homelessness Prevention",National,,,medium-high,Wide breadth and well researched
What is a Form Based Code?,Smart Growth America,2025,https://www.smartgrowthamerica.org/knowledge-hub/resources/what-is-a-form-based-code/,"An introduction to Form Based Code, an alternative to traditional zoning.",Guide or Toolkit,,Land Use,National,,,,
Zoned In: The Economic Benefits of Form Based Code,Smart Growth America,2021,https://drive.google.com/file/d/1TIblOIgoCsY-3P0KZA7mrz4bXH169RvU/view?usp=drive_link,A detailed description of Form Based Code and analysis of 4 local jurisidictions. Compares the economic data (tax revenue and rate of increased costs) for form-based and traditionally zoned developments in each city.,"Research Brief, Case study",,Land Use,National,,,,
City of Asheville Implementation Report,City of Asheville,2019,https://drive.google.com/file/d/1Wp0t8jRz__DuIEei-HioB_PBND7prUts/view?usp=drive_link,How the City of Asheville employed 12 strategies to increase affordable housing using funds from a local bond initiative,Case study,,Financing Projects,South,,,,
Brownfield TIF ,City of East Grand Rapids,2024,https://drive.google.com/file/d/1goQgg8jeXdPiJkkyiLsSTXzUubf7RxUM/view?usp=drive_link,"A report detailing the benefits of starting up a local brownfield authority to oversee the use of Tax Increment Financing to build workforce housing in Grand Rapids, MI",Research Brief,,Financing Projects,Midwest,,,,
Filling the Gap Tool: Unlocking Housing Finance,National League of Cities,2025,https://www.nlc.org/resource/filling-the-gap-unlocking-housing-finance-tool/,A collection of state and local funding to preserve or produce more affordable housing. Includes a database of case studies.,Guide or Toolkit,,Financing Projects,National,,register to access,,
Healthy Housing Workforce Toolkit,National League of Cities,2025,https://www.nlc.org/resource/healthy-housing-workforce-toolkit/,"A toolkit for local policymakers seeking to strengthen the construction workforce pipeline. Includes 8 steps to assess, develop, and evaluate workforce development in housing construction.",Guide or Toolkit,,"Rental / Tenant Protections, Financing Projects",National,,register to access,,
Housing Supply Accelerator Field Guide,National League of Cities,2024,https://drive.google.com/file/d/1hnLJbwpJ-yvLd5uYgBCpG-kQmStybbFJ/view?usp=drive_link,Comprehensive guide to increasing the production of housing.,Guide or Toolkit,,"Land Use, Cost of Building, Financing Projects",National,,members only,,
Making the Case for Healthy and Safe Housing Policies: A Messaging Toolkit,National League of Cities,2025,https://www.nlc.org/resource/making-the-case-for-healthy-and-safe-housing-policies-a-messaging-toolkit/,Key messaging tips and best practices for building local support for reformed housing policy,Guide or Toolkit,,Land Use,National,,register to access,,
Landlord Engagement Toolkit,National League of Cities,2025,https://www.nlc.org/resource/landlord-engagement-toolkit/,"Resources and guidance for building relationships with local, ""mom and pop"" landlords with the goal to prevent eviction, increase housing stability, and support both renters and landlords.",Guide or Toolkit,,Rental / Tenant Protections,National,,register to access,,
Local Eviction Prevention and Policy Tool,National League of Cities,2025,https://www.nlc.org/resource/local-eviction-prevention-policy-and-program-tool/,Interactive tool capturing eviction related policies for more than 400 cities.,Interactive map,,"Rental / Tenant Protections, Homelessness Prevention",National,,,,
Designing and Implementing Local Eviction Policies and Programs ,National League of Cities,2025,https://www.nlc.org/wp-content/uploads/2024/01/Designing-and-Implementing-Local-Eviction-Policies-and-Programs.pdf,Implementation guidance around policies that address eviction.,Guide or Toolkit,,"Rental / Tenant Protections, Homelessness Prevention",National,,,High,emphasis on implementation and outcomes 
Emergency Rental Assistance Toolkit: “How-To” Resources for Equitable & Effective Programs,National League of Cities,2025,https://www.nlc.org/resource/emergency-rental-assistance-toolkit-how-to-resources-for-equitable-effective-programs/,Step by step approach for supporting both local tenants and landlords using an emergency rental assistance program.,Guide or Toolkit,,"Rental / Tenant Protections, Homelessness Prevention",National,,register to access,,
National Zoning Atlas,Land Use Atlas,2025,https://www.zoningatlas.org/atlas,"Map of the zoning specifics for nearly 33,000 jurisdictions. Also provides ""zoning snapshots"" with dashboard-like metrics on land use categories for localities.",Interactive map,,Land Use,National,,High,,"High fidelity, consistently updated"
2025 Opportunity Map,Institute of Othering & Belonging  and California Department of Housing and Community Development,2025,https://belonging.berkeley.edu/2025-ctcachcd-affh-mapping-tool-nc,"Map overlaying rates of poverty and segregation over California counties, including large family developments built using LIHTC.",Interactive map,,"Land Use, Financing Projects",West,,,,
Zoning Reform Tracker,Institute of Othering & Belonging  and California Department of Housing and Community Development,2025,https://belonging.berkeley.edu/zoning-reform-tracker,"Map and Database of successful municipal zoning reform linking to the policies and codes each jurisdiction used, including ADUs, TODs, and Plex reform.","Interactive map, Model Policy",,Land Use,National,,,,
Housing Guaranteed,Liberation in a Generation,2025,https://xd.adobe.com/view/4913aae9-6d04-40e9-b2c3-185e3b4d24f2-1c40/?fullscreen,Social Housing simulation ,Simulator,,"Rental / Tenant Protections, Homelessness Prevention",National,,best on a mobile device,,
Mixed-Income Public Development Review,Center for Public Enterprise,2025,https://drive.google.com/file/d/1WO-KqoFlFDYRqllVM2d7A98o1BoVZ1Bi/view?usp=drive_link,"Overview of public-private partnership to overcome financing setbacks in mixed-income housing. Examines revolving loan fund in Montgomery County, Maryland.","Research Brief, Case study",,Financing Projects,"Northeast, National",,,,
Residential Year Built and Land Use map,AEI,2025,https://heat.aeihousingcenter.org/toolkit/year_built_map,Map displaying the age of single family homes across the US.,Interactive map,,Land Use,National,,,,
Housing in the Heartland: a messaging guide,Housing Narrative Lab,2025,https://drive.google.com/file/d/1gQzM2Qvz_i9x0ppak6t5FjxtMy98hFGc/view?usp=drive_link,"Public opinion research on housing development in Tulsa, OK: Omaha and Lincoln, Nebraska; and the State of  Minnesota. Includes proven pro-housing messages for each location.",Guide or Toolkit,,"Land Use, Homelessness Prevention",Midwest,,text heavy,,
ABC's of ADUs,AARP,2025,https://www.hcd.ca.gov/policy-research/docs/adu-guide-web-singles.pdf,"A comprehensive explainer that includes accessible language to help gain support of ADUs, analysis of who benefits from ADUs, Model ADU configurations, and some policy guidelines for legalizing and encouraging ADU construction.",Guide or Toolkit,,Land Use,National,,"behind a membership wall, but posted by CA HCD",,
Housing & Public Engagement Toolkit for California,Institute for Local Government,2025,https://housingtoolkit.ca-ilg.org/,Toolkit providing evidence and messaging to help local officials engage the public. Case studies focused in California. ,Guide or Toolkit,,Land Use,West,,,,
Taxonomy of ADU requirements,Mercatus Center,2025,https://drive.google.com/file/d/1Qe8-k5aXCdKj24_YGx7xQ9QjxucaHaVQ/view?usp=drive_link,"Brief on ADU laws across the United States, identifies 3 ""poison pill"" policies that prevent ADUs from meaningfully addressing housing scarcity, and some comparison of state laws.",Research Brief,,Land Use,National,,,,
Housing + Transportation Index,Housing + Transportation Index,2025,https://htaindex.cnt.org/map/,An interactive map showing the combined costs of housing and transportation as a % of income.,Interactive map,,Land Use,National,,,,
Policy Map,Policy Map,2025,https://www.policymap.com/newmaps/e/www,"Map and data analytics tool with thousands of indicators. Free version presents substantial American Community Survey data like home value, property tax, permits issued, homeowner and renter demographics, cost burden, etc.   ",Interactive map,,Land Use,National,,,,
Affordable Pricing and Resale Formulas,Grounded Solutions,2025,https://groundedsolutions.org/resources/affordable-pricing-and-resale-formulas/,Collection of resources explaining resale formulas that maintain affordability. Especially useful for Land Trusts and Deed restricted properties. ,Guide or Toolkit,,Financing Projects,National,,,,
"Build Homes, Expand Opportunity",Bush Center,2025,https://gwbushcenter.imgix.net/wp-content/uploads/Build-Housing-Expand-Opportunity_FINAL_4.4.2025.pdf,"Detailed analysis of 25 fastest growing American cities with guidance for creating more ""in-demand"" cities, towns, and neighborhoods.",Research Brief,,Financing Projects,National,,,,
Minimum Lot Size,Mercatus Center,2025,https://drive.google.com/file/d/1z4UjoIdSCx2-MoMEgKE14rL0bqNFtVjX/view?usp=drive_link,A policy brief that evaluates the impact of minimum lot size requirements on housing production.,Research Brief,,Financing Projects,"National, South",,,,
The Case for Housing Innovation,Ivory Innovations + Terner Labs + Enterprise Community Partners,2025,https://www.enterprisecommunity.org/sites/default/files/2025-01/The-Case-for-Innovation-in-Housing.pdf,"9 Case studies showcasing innovation in equitable access to homeownership, industrialized construction, and homelessness.","Case study, Research Brief",,"Financing Projects, Cost of Building, Homeownership, Homelessness Prevention","National, South",,,,
Tiny Homes Resource Map,Tiny Home Industry Association,2025,https://tinyhomeindustryassociation.org/map/,A map of state and local regulations and resources for tiny homes and homes on wheels.,Catalog or Library,,"Land Use, Cost of Building",National,,,,
Brining the Housing Shortage into Sharper Focus,Urban Institute,2025,https://www.urban.org/sites/default/files/2025-07/Bringing-Housing-Shortage-Into-Sharper-Focus.pdf,A brief that compares housing shortfall estimates and provides a new framework for analyzing and estimating housing demand by localized income data.,Research Brief,,"Land Use, Homeownership, Rental / Tenant Protections","National, South",,,,
Mixed-income public development: an overview,Center for public enterprise,2025,https://publicenterprise.org/wp-content/uploads/Mixed-Income-Public-Development-1.pdf,Examines use of revolving loan fund to build mixed-income public housing in Montgomery County.,"Research Brief, Case study",,Financing Projects,"National, South",,,,
"Avoiding ""Poison Pills"" in ADU Law",Mercatus Center,2025,https://www.mercatus.org/research/policy-spotlights/avoiding-poison-pills-accessory-dwelling-unit-adu-law,"A brief discussing how owner-occupancy, parking requirements and discretionary ADU permit reviews can dampen the impact of ADU laws in increasing housing supply. ",Research Brief,,Land Use,National,,,,
Is Inclusionary Zoning Inclusionary?,RAND,2025,https://www.rand.org/content/dam/rand/pubs/technical_reports/2012/RAND_TR1231.pdf,"Research brief examining the equity outcomes of inclusionary zoning in Montgomery County; Santa Fe, NM; Santa Monica, CA; Davidson, NC; Denver, CO; Boulder, CO.","Research Brief, Case study",,Land Use,"National, South",,,,
Modeling Inclusionary Zoning's Impact on Housing Production in LA,Terner Center for Housing Innovation and Lewis Center for Regional Policy Studies,2025,https://drive.google.com/file/d/1lAHpjhFXJRu0A7ZogrYhn0nFmUKCUvza/view,A brief analyzing the tradeoffs of inclusionary zoning—modeling the ideal percentage of below market rate housing to maximize private subsidy while maintaining production of market rate housing. ,"Research Brief, Case study",,Land Use,West,,,,
Strategies to Lower Cost and Speed Housing Production: A Case Study of San Francisco 833 Bryant Street Project,Terner Center for Housing Innovation,2025,https://ternercenter.berkeley.edu/wp-content/uploads/2021/02/833-Bryant-February-2021.pdf,A new model for building permanent supportive housing at a lower cost.,"Case study, Research Brief",,"Financing Projects, Homelessness Prevention",West,,,,
"Addressing Vacant and Abandoned properties: Genesee County, MI",Results for America,2025,https://catalog.results4america.org/case-studies/addressing-vacant-and-abandoned-properties-genesee-county-mi,Example of publicly owned and managed land bank.,Case study,,Financing Projects,Midwest,,,,
"Community Land Trust: Houston, TX",Results for America,2025,http://catalog.results4america.org/case-studies/clt-houston,Challenges and solutions from the largest city-funded community land trust in the United States.,Case study,,Financing Projects,South,,,,
"Charlotte/Mecklenburg County, North Carolina, reduces veteran homelessness by 30%",Community Solutions,2025,https://community.solutions/case-studies/charlotte-mecklenburg-county-north-carolina-reduces-veteran-homelessness-by-30/,"How a county used data, relationship building, and process streamlining to reduce homelessness.",Case study,,Homelessness Prevention,South,,,,
Community Solutions' Homelessness Policy Recommendations,Community Solutions,2025,https://community.solutions/community-solutions-homelessness-policy-recommendations-2/,10 tips for local governments to make homelessness rare and brief.,Guide or Toolkit,,Homelessness Prevention,National,,,,
"Homelessness prevention system: Santa Clara County, CA",Results for America,2025,https://catalog.results4america.org/case-studies/homelessness-prevention-system,"How Santa Clara County coordinated local governments, non-profit service providers, and private funders to develop a homelessness prevention system to keep low-income residents housed. ",Case study,,Homelessness Prevention,South,,,,
"How Fairfax, Virginia, diverted 74% of participants from homelessness",Community Solutions,2025,https://community.solutions/case-studies/how-fairfax-virginia-diverted-74-of-participants-from-homelessness/,Fairfax County developed a diversion program to assist people in immediately returning to housing.,Case study,,Homelessness Prevention,South,,,,
How Six Cities are Creating Missing Middle Housing,Regional Plan Association,2025,https://rpa.org/work/reports/how-six-cities-are-creating-missing-middle-housing,"Data, rationale, and strategies for increasing the variety of ""missing middle"" housing typologies.",Case study,,Land Use,National,,,,
Improving Impact Fees in California: Rethinking the Nexus Study Requirement,Terner Center for Housing Innovation,2025,https://ternercenter.berkeley.edu/wp-content/uploads/2020/12/Nexus_Studies_November_2020.pdf,"Guidance around conducting ""nexus studies"" and methodology for determining fees for new housing developments.","Research Brief, Case study",,Cost of Building,West,,,,
Elevators,Center for Building in North America,2025,https://admin.centerforbuilding.org/wp-content/uploads/2024/12/Elevatorsexecutivesummary.pdf,"Insights into the ways American policy and workforce environments drive up the cost of installing elevators in apartment buildings, compared to Europe.",Research Brief,,Cost of Building,National,,,,
Single-Stairway Apartment Buildings Have Strong Safety Record,Pew,2025,https://www.pew.org/en/research-and-analysis/reports/2025/02/small-single-stairway-apartment-buildings-have-strong-safety-record,"A comprehensive review stair requirements in local building code, finding four-to-six story buildings with a single stairwell are at least as safe as building types. ",Research Brief,,Cost of Building,National,,,,
How do they do it? ,National Association of Home Builders,2025,https://www.nahb.org/-/media/NAHB/advocacy/docs/state-and-local/how-did-they-do-it.pdf?rev=9476211b36684475b32477aa924d4997&hash=1D35C30D990C50905FC199B49C5CF3B8,"12 detailed case studies on how cities of different sizes, government styles, and housing markets have improved housing affordability.","Research Brief, Case study",,"Land Use, Financing Projects, Cost of Building",National,,,,
Designing for Natural Hazards,US Department of Housing and Urban Development,2025,https://www.huduser.gov/portal/publications/Designing-for-Natural-Hazards-Series.html,"Practical guidelines for city officials, builders, and developers to design and construct housing that's resilient to wind, water, fire, earthquakes, and other hazards.",Research Brief,,"Land Use, Climate Resiliency",National,,,,
Chicago Parking Reform,City of Chicago,2025,https://www.chicago.gov/city/en/sites/cut-the-tape/home/PolicyInitiatives/ParkingReform.html,An explainer covering Chicago's approach to eliminating parking requirements for new commercial and residential developments.,"Case study, News Article or Blog",,Land Use,Midwest,,,,
Introducing the Urban Rooming House,Neiman Taber,2025,https://neimanarchitects.blogspot.com/2024/05/introducing-urban-rooming-house.html,Development plans and models for micro-housing that combines the space and cost efficiency of congregate housing with the dignity and privacy of a multi-bedroom apartment. ,"Case study, News Article or Blog",,"Land Use, Cost of Building","National, West",,,,
Innovating in Atlanta: A Social Housing Model for the US,Harvard's Data-Smart City Solutions,2025,http://datasmart.hks.harvard.edu/innovating-atlanta-social-housing-model-us,"A new model for affordable housing that coordinates public and non-profit organizations, successfully implemented by the Affordable Housing Strike Force in Atlanta.",Case study,,Financing Projects,South,,,,
Launching Online Permitting & Licensing Portal Powerd by Open Gov,City of Scranton,2025,https://scrantonpa.gov/launching-online-permitting-licensing-portal-powered-by-opengov/,Overview of the city of Scranton's digital permitting process.,"News Article or Blog, Case study",,Cost of Building,Northeast,,,,
Connected Communities Ordinance,City of Chicago,2025,https://www.chicago.gov/city/en/sites/equitable-transit-oriented-development/home/connected-communities-ordinance.html,An explainer on Chicago's Equitable Transit Oriented Development ordinance aimed at increasing housing affordablity and inclusive growth.,"Case study, Model Policy",,Land Use,Midwest,,,,
"Despite Challenges, Adaptive Reuse Can Elevate Our Neighborhoods",Building Salt Lake,2025,https://buildingsaltlake.com/despite-challenges-adaptive-reuse-can-elevate-our-neighborhoods-opinion/,"A look into the challenges and opportunities adapting commercial or office space into new housing, emphasizing due dilligence to best understand the constraints and costs of the conversion.","News Article or Blog, Case study",,"Land Use, Cost of Building","West, National",,,,
Home Repair and Homeowner Rehabilitation Assistance Programs,Local Housing Solutions,2025,https://www.localhousingsolutions.org/housing-policy-library/homeowner-rehabilitation-assistance-programs/,Program guildelines designed to help residents keep their properties up to code and prevent the displacement of low-income households.,"Research Brief, Case study",,"Homeownership, Homelessness Prevention",Northeast,,,,
Rental Registries,Local Housing Solutions,2025,http://localhousingsolutions.org/housing-policy-library/rental-registries/,Resource for local governments considering establishing or expanding a rental registery.,"Research Brief, Case study",,"Rental / Tenant Protections, Homelessness Prevention",National,,,,
Taxing Very High-Value Home Sales Is an Equitable and Effective Strategy to Raise Revenue and Fund Affordable Housing,Center on Budget and Policy Priorities,2025,"https://www.cbpp.org/research/housing/taxing-very-high-value-home-sales-is-an-equitable-and-effective-strategy-to-raise#:~:text=to%20affordable%20housing.-,Progressive%20real%20estate%20transfer%20taxes%20on%20high%2Dvalue%20homes%20serve,of%20color%20with%20low%20incomes.","Evidence for using a ""mansion tax"" to offset the cost of providing affordable housing.",Research Brief,,Financing Projects,National,,,,
"Affordable Housing Overlay Zones: Oakley, CA",Terner Center for Housing Innovation,2025,https://drive.google.com/file/d/1irE_aTnoUZ5guXe9AIXJGvqUm787YLwS/view,A case study on the use of affordable housing overlay zones as a flexible tool to prioritize development in site-specific areas.,Case study,,Land Use,West,,,,
Density Bonus Model Program Guidelines,Association of Bay Area Governments,2025,https://abag.ca.gov/sites/default/files/documents/2025-04/Density-Bonus-Model-Program-Guidelines-04162025.pdf,"A technical overview of California's Density Bonus Program, although this document may serve as a useful framework for other jurisdictions looking to calibrate density bonuses in their cities or counties. ",Research Brief,,"Land Use, Financing Projects, Cost of Building",West,,,,
Fact Check: New Housing Doesn't Lead to Overcrowded Schools,Shelterforce,2025,"https://shelterforce.org/2024/12/03/fact-check-new-housing-doesnt-lead-to-overcrowded-schools/#:~:text=Most%20public%2Dschool%20districts%20receive,more%20students%2C%E2%80%9D%20she%20says.","An article examining the impact of multi-family developments on public school class sizes; Data suggests  school enrollment in steady decline, significantly reducing the risk of overcrowding for most districts. ","Research Brief, News Article or Blog",,Land Use,"South, West",,,,
Is New Housing a School Budget Buster? What Does the Research Say?,Boston Indicators,2025,https://mbtacommunities.bostonindicators.org/is-new-housing-a-school-budget-buster-what-does-the-research-say-and-why-you-shouldnt-worry-too-much-anyway/,Local analysis concluding the benefits of approving new housing far outweigh the potential economic strains on public services like education. ,"Research Brief, News Article or Blog",,Land Use,Northeast,,,,
How a Kansas City Neighborhood is Protecting Renters While Investing in Itself,Brookings,2025,https://www.brookings.edu/articles/how-a-kansas-city-neighborhood-is-protecting-renters-while-investing-in-itself/,"A case example covering the success of introducing a Mixed-Income Neighborhood Trust (MINT) model, a new financing mechanims that can add new affordable housing while preserving existing rents and maintaining community control. ",Case study,,"Rental / Tenant Protections, Financing Projects",Midwest,,,,
The Kendall-Whittier Neighborhood Trust,Purpose Built Communities and Growing Together,2025,https://purposebuiltcommunities.org/wp-content/uploads/2025/01/PB-KWNT-Case-Study-FINAL.pdf,"A case study showcasing the non-profit and resident led impelemntation of a Mixed-Income Neighborhood Trust (MINT) in Tulsa, Oklahoma. ",Case study,,"Rental / Tenant Protections, Financing Projects",Midwest,,,,
The Evolving Landscape of Social Housing in New Englad: IWhat We Learned,Joint Center for Housing Studies of Harvard University,2025,https://www.jchs.harvard.edu/blog/evolving-landscape-social-housing-new-england-what-we-learned,"A scan of different social housing pilot programs around New England, and how they made housing more affordable, transitioned to resident control, and harnessed alternative funding structures.",Case study,,Financing Projects,Northeast,,,,
How are Owner Occupancy Regulations are Contributing to the Housing Crisis.,Brookings,2025,https://www.brookings.edu/articles/how-owner-occupancy-regulations-are-contributing-to-the-housing-crisis/,"Evidence and analysis on the broader outcomes of owner occupancy requirements, which slow ADU development and fail to achieve their intended goal of incentivizing property upkeep. ",Case study,,Land Use,National,,,,
An Overview of Rent Stabillitzation from National Housing Experts,The Federal Reserve Bank of Minneapolis,2025,https://www.minneapolisfed.org/article/2022/an-overview-of-rent-stabilization-from-national-housing-experts,Examines the tradeoffs of different approaches to rent regulation including the impact on financing new housing production. ,Research Brief,,Rental / Tenant Protections,"Northeast, West",,,,
Making it Happen: Scaling Off-site Construction,Enterprise Community,2025,https://drive.google.com/file/d/10ISNoROrl7Pcpjzg_alNdi7Ggubyb6jM/view?usp=drive_link,"Modular housing has the potential to develop multi-family housing more quickly, and at a lower cost. This brief examines the realities and challenges like high upfront costs and needed regulatory reform.",Research Brief,,"Financing Projects, Cost of Building","West, Northeast",,,,
