Resource Name,Org,Date,URL,Summary,Tool Type,Policy Area,Region,Accessibility Score,Abundance Alignment,Strengths
"Housing Policy Library","NYU Furman Center Housing Solutions Lab","2025","https://www.localhousingsolutions.org/housing-policy-library/","","Catalog or Library","Land Use; Rental / Tenant Protections; Climate Resiliency; Homelessness Prevention; Homeownership","National","Plain Language; Easy to Navigate; Scanable","Unlock Supply","Expansive list of policy approaches policy makers can use to draw inspiration for new strategies to increase supply"
"Emergency Rental Assistance Priority Index","Urban Institute","2023","https://www.urban.org/data-tools/mapping-neighborhoods-highest-risk-housing-instability-and-homelessness","","Interactive map","Rental / Tenant Protections","National","Easy to Navigate","Service Delivery","Tool that can help policy makers identify which neighborhoods have the highest need of assistance"
"Puget Sound Zoning Simulator","Urban Institute","2023","https://apps.urban.org/features/affordable-housing-shortage-and-zoning/","","Simulator","Land Use; Financing Projects; Innovation in Building","West","Plain Language; Easy to Navigate; Scanable","Human Centered Design","Useful to demonstrate tradeoffs and outcomes of upzoning"
"The State of the Nation's Housing 2025","Joint Center for Housing Studies of Harvard","2025","https://www.jchs.harvard.edu/state-nations-housing-2025","","Research Brief, Interactive map","Homeownership; Rental / Tenant Protections; Land Use; Climate Resiliency; Homelessness Prevention","National","Plain Language","Service Delivery","Timely research on market dynamics affecting housing that can help local governments adjust their housing strategy to respond to changes in migration and building costs."
"The State of the Nation's Housing 2025 Fact Sheet","Joint Center for Housing Studies of Harvard","2025","https://drive.google.com/file/d/1DGUlhJvfXkIOp2ctlsX2SbFUy2yByuXT/view?usp=drive_link","","Research Brief","Rental / Tenant Protections; Homelessness Prevention; Homeownership; Land Use","National","Plain Language; Easy to Navigate","Service Delivery","Timely research on market dynamics affecting housing that can help local governments adjust their housing strategy to respond to changes in migration and building costs."
"Where Households Using Federal Assistance Live","Center for Budget and Policy Priorities","2025","https://www.cbpp.org/research/housing/map-where-households-using-federal-rental-assistance-live","","Interactive map","Rental / Tenant Protections","National","Easy to Navigate","Service Delivery","Helps policy makers visualize what neighborhoods are rely on rental assistance, which can inform their housing strategy."
"Urban Land Institute Learning","Urban Land Institute","2025","https://learning.uli.org/?_gl=1*1n7ufg0*_gcl_au*ODIwMTIxMjQ3LjE3NDg4ODkxNjY.*_ga*MTk1OTkxNjk5OS4xNzQ4ODg5MTY4*_ga_68JJQP7N7N*czE3NDg4OTIzMDYkbzIkZzEkdDE3NDg4OTQ2MDAkajQ4JGwwJGgw","","Training & Consulting","Financing Projects; Cost of Building; Land Use","National","Easy to Navigate","Service Delivery","For purchase training on technical aspects of housing development, higher touch opportunity to train staff"
"Gentrification Comparison Tool","Enterprise Community Partners","2019","https://www.enterprisecommunity.org/learning-center/resources/gentrification-comparison-tool","","Interactive map","Financing Projects; Rental / Tenant Protections; Homeownership","National","Easy to Navigate; Plain Language","Service Delivery","Helpful to visualize how neighborhoods have changed over time and inform housing strategy"
"Southeast Rural Rental Preservation Academy","Enterprise Community Partners","2022","https://www.enterprisecommunity.org/learning-center/resources/southeast-rural-rental-preservation-academy","","Training & Consulting","Rental / Tenant Protections; Financing Projects","South","Easy to Navigate","Service Delivery","For appropriate housing markets, this tool can help policy makers develop skills to preserve rural developments"
"Building a Homelessness Prevention System","Results For America","2025","https://drive.google.com/file/d/1vnuouTHJoiC1HFuhbLtcHS0SCuU-1s42/view?usp=drive_link","","Guide or Toolkit, Case study","Homelessness Prevention","West","Plain Language","Service Delivery","Detailed walk through of how Santa Clara County set up processes for cross-departmental collaboration and empowered frontline employees to use their discretion to achieve their goals"
"Shifting Dollars Technical Assistance","Results For America","2025","https://results4america.org/shifting-dollars-technical-assistance%E2%84%A0/","","Training & Consulting","Financing Projects","National","Easy to Navigate","Service Delivery","Key offering from Results For America, technical assistance on public spending for policy makers"
"Increasing Overall Housing Supply","Results For America","2024","https://catalog.results4america.org/strategies/overall-housing-supply","","Guide or Toolkit","Land Use; Financing Projects; Cost of Building; Climate Resiliency; Homelessness Prevention","National","Plain Language; Easy to Navigate; Scanable","Unlock Supply","Research to support policymaker's housing strategy"
"What is a Form Based Code?","Smart Growth America","2025","https://www.smartgrowthamerica.org/knowledge-hub/resources/what-is-a-form-based-code/","","Guide or Toolkit","Land Use","National","Plain Language","Human Centered Design","Research and guidance to inform whether form based code is a viable option for a jurisdiction. Simplified code can ease development process among other benefits"
"Zoned In: The Economic Benefits of Form Based Code","Smart Growth America","2021","https://drive.google.com/file/d/1TIblOIgoCsY-3P0KZA7mrz4bXH169RvU/view?usp=drive_link","","Research Brief, Case study","Land Use","National","Plain Language","Human Centered Design","Research and guidance to inform whether form based code is a viable option for a jurisdiction. Simplified code can ease development process among other benefits"
"City of Asheville Implementation Report","City of Asheville","2019","https://drive.google.com/file/d/1Wp0t8jRz__DuIEei-HioB_PBND7prUts/view?usp=drive_link","","Case study","Financing Projects","South","Plain Language","Service Delivery","Case example of implementation of bond funds for increeasing supply"
"Brownfield Tax Increment Financing","City of East Grand Rapids","2024","https://drive.google.com/file/d/1goQgg8jeXdPiJkkyiLsSTXzUubf7RxUM/view?usp=drive_link","","Case study","Financing Projects","Midwest","Plain Language; Scanable","Service Delivery","Guidance around how a housing authority can use tax revenue to produce workforce housing."
"Filling the Gap Tool: Unlocking Housing Finance","National League of Cities","2025","https://www.nlc.org/resource/filling-the-gap-unlocking-housing-finance-tool/","","Guide or Toolkit","Financing Projects","National","Plain Language; Easy to Navigate","Unlock Supply","Positions housing development finance as a key driver of the gap between supply and demand. Provides several strategies for reducing finance gap and increasing supply of housing."
"Healthy Housing Workforce Toolkit","National League of Cities","2024","https://www.nlc.org/resource/healthy-housing-workforce-toolkit/","","Guide or Toolkit","Rental / Tenant Protections; Financing Projects","National","Plain Language; Easy to Navigate","Unlock Supply","Shortages in construction labor are a common barrier to housing supply, and this toolkit offers ways for electeds to address the disparity."
"Housing Supply Accelerator Field Guide","National League of Cities","2024","https://drive.google.com/file/d/1hnLJbwpJ-yvLd5uYgBCpG-kQmStybbFJ/view?usp=drive_link","","Guide or Toolkit","Land Use; Innovation in Building; Financing Projects","National","Plain Language; Easy to Navigate","Unlock Supply","Detailed guide with advice around zoning reform in service of increasing housing supply."
"Making the Case for Healthy and Safe Housing Policies: A Messaging Toolkit","National League of Cities","2020","https://www.nlc.org/resource/making-the-case-for-healthy-and-safe-housing-policies-a-messaging-toolkit/","","Guide or Toolkit","Land Use","National","Plain Language; Easy to Navigate","Unlock Supply","Electeds can use this tool to build political support for increasing the supply of housing"
"Landlord Engagement Toolkit","National League of Cities","2023","https://www.nlc.org/resource/landlord-engagement-toolkit/","","Guide or Toolkit","Rental / Tenant Protections","National","Plain Language","Service Delivery","Cities can strengthen their relationship with landlords, irmproving service delivery, compliance, and the quality of their overall housing strategy."
"Local Eviction Prevention and Policy Tool","National League of Cities","2023","https://www.nlc.org/resource/local-eviction-prevention-policy-and-program-tool/","","Interactive map","Rental / Tenant Protections; Homelessness Prevention","National","Easy to Navigate","Human Centered Design","While they're unlocking supply, cities can use this tool to examine and adjust their programs and policies around eviction."
"Designing and Implementing Local Eviction Policies and Programs","National League of Cities","2023","https://www.nlc.org/wp-content/uploads/2024/01/Designing-and-Implementing-Local-Eviction-Policies-and-Programs.pdf","","Guide or Toolkit","Rental / Tenant Protections; Homelessness Prevention","National","Plain Language; Scanable","Human Centered Design","While they're unlocking supply, cities can use this tool to examine and adjust their programs and policies around eviction."
"Emergency Rental Assistance Toolkit: “How-To” Resources for Equitable & Effective Programs","National League of Cities","2022","https://www.nlc.org/resource/emergency-rental-assistance-toolkit-how-to-resources-for-equitable-effective-programs/","","Guide or Toolkit","Rental / Tenant Protections; Homelessness Prevention","National","Plain Language; Scanable","Human Centered Design","Along with increasing supply, cities can design rental assistance programs that are more intuitive and responsive to users."
"National Zoning Atlas","Land Use Atlas","2025","https://www.zoningatlas.org/atlas","","Interactive map","Land Use","National","Easy to Navigate","Unlock Supply","Useful for small teams who may not have access to sophisticated data analysis tools"
"Zoning Reform Tracker","Institute of Othering & Belonging and California Department of Housing and Community Development","2023","https://belonging.berkeley.edu/zoning-reform-tracker","","Interactive map, Model Policy","Land Use","National","Easy to Navigate","Unlock Supply","Policy makers can draw inspiration on zoning refrom from model policies from other cities that have enacted reform using this database."
"Mixed-Income Public Development Review","Center for Public Enterprise","2024","https://drive.google.com/file/d/1WO-KqoFlFDYRqllVM2d7A98o1BoVZ1Bi/view?usp=drive_link","","Research Brief, Case study","Financing Projects","Northeast; National","Plain Language","Unlock Supply","Flexible alternative to legacy finance sources like LIHTC, resulting in increased access to affordable housing"
"Residential Year Built and Land Use map","AEI","2025","https://heat.aeihousingcenter.org/toolkit/year_built_map","","Interactive map","Land Use","National","Easy to Navigate","Service Delivery","Policy makers can use this data to evaluate what parts of their jurisdiction might need renovations to remain suitable and prevent substantial decreases in current supply."
"National and Metro Housing Market Indicators","AEI","2025","https://www.aei.org/national-and-metro-housing-market-indicators/","","Interactive map","Land Use; Homeownership","National","Easy to Navigate; Plain Language","Service Delivery","Policy makers can refer to the data here to inform their housing priorities."
"Housing in the Heartland: a messaging guide","Housing Narrative Lab","2024","https://drive.google.com/file/u/2/d/1gQzM2Qvz_i9x0ppak6t5FjxtMy98hFGc/view?usp=drive_link","","Guide or Toolkit","Land Use; Homelessness Prevention","Midwest","Plain Language; Scanable","Unlock Supply","Region-specific messaging that can help elected leaders build support for increasing supply"
"ABC's of ADUs","AARP","2019","https://www.hcd.ca.gov/policy-research/docs/adu-guide-web-singles.pdf","","Guide or Toolkit","Land Use","National","Plain Language; Scanable","Unlock Supply","Brochure helpful for encouraging ADU construction"
"Housing & Public Engagement Toolkit for California","Institute for Local Government","2020","https://housingtoolkit.ca-ilg.org/","","Guide or Toolkit","Land Use","West","Plain Language; Scanable; Easy to Navigate","Service Delivery","Guidance for productive public deliberation on housing development"
"Taxonomy of ADU requirements","Mercatus Center","2023","https://drive.google.com/file/d/1Qe8-k5aXCdKj24_YGx7xQ9QjxucaHaVQ/view?usp=drive_link","","Research Brief","Land Use","National","Plain Language","Unlock Supply","Advice on designing ADU policy that yields more housing"
"Housing + Transportation Index","Housing + Transportation Index","2025","https://htaindex.cnt.org/map/","","Interactive map","Land Use","National","Easy to Navigate","Unlock Supply","Useful mapping tool for policy makers designing transit oriented development plans"
"Policy Map","Policy Map","2025","https://www.policymap.com/newmaps/e/www","","Interactive map","Land Use","National","Easy to Navigate; Plain Language","Service Delivery","Easy to use data interface, can assist policy makers with limited data analysis capacity"
"Build Homes, Expand Opportunity","Bush Center","2025","https://gwbushcenter.imgix.net/wp-content/uploads/Build-Housing-Expand-Opportunity_FINAL_4.4.2025.pdf","","Research Brief","Financing Projects","National","Plain Language","Unlock Supply"
"Minimum Lot Size","Mercatus Center","2023","https://drive.google.com/file/d/1z4UjoIdSCx2-MoMEgKE14rL0bqNFtVjX/view?usp=drive_link","","Research Brief","Financing Projects","National; South","Plain Language; Scanable","Unlock Supply","Evidence policymakers can leverage to adjust zoning to enable smaller, denser housing units."
"The Case for Housing Innovation","Ivory Innovations + Terner Labs + Enterprise Community Partners","2025","https://www.enterprisecommunity.org/sites/default/files/2025-01/The-Case-for-Innovation-in-Housing.pdf","","Case study, Research Brief","Financing Projects; Innovation in Building; Homelessness Prevention; Homeownership","National; South","Plain Language; Scanable","Unlock Supply","Policymakers can use these case studies to draw inspiration for new approaches to construction and wrap around homelessness services, and get a look at the up and coming organizations that can help cities to achieve ambitious goals."
"Tiny Homes Resource Map","Tiny Home Industry Association","2025","https://tinyhomeindustryassociation.org/map/","","Catalog or Library","Innovation in Building; Land Use","National","Plain Language; Easy to Navigate","Unlock Supply","Tiny homes and homes on wheels can be a cost effective way to increase housing supply, but there are local and state regulations that complicate this strategy. This resource map provides resources for electeds interested in loosening regulations around tiny homes specifically."
"Bringing the Housing Shortage into Sharper Focus","Urban Institute","2025","https://www.urban.org/sites/default/files/2025-07/Bringing-Housing-Shortage-Into-Sharper-Focus.pdf","","Research Brief","Land Use; Homeownership; Rental / Tenant Protections","National; South","Plain Language; Scanable","Unlock Supply","Understanding how shortage estimates are calculated can provide insight into the state of housing supply."
"Avoiding ""Poison Pills"" in ADU Law","Mercatus Center","2025","https://www.mercatus.org/research/policy-spotlights/avoiding-poison-pills-accessory-dwelling-unit-adu-law","","Research Brief","Land Use","National","Plain Language; Scanable","Unlock Supply","Offers tweaks lawmakers can implement to further unencumber ADU production."
"Is Inclusionary Zoning Inclusionary?","RAND","2012","https://www.rand.org/content/dam/rand/pubs/technical_reports/2012/RAND_TR1231.pdf","","Research Brief, Case study","Land Use","National; South","Plain Language; Scanable","Unlock Supply","Evidence that Inclusionary Zoning has helped low-income homeowners more than low-income renters, which can help policy makers make informed decisions about how to structure affordable housing programs or plans that might include Inclusionary zoning."
"Modeling Inclusionary Zoning's Impact on Housing Production in LA","Terner Center for Housing Innovation and Lewis Center for Regional Policy Studies","2024","https://drive.google.com/file/d/1lAHpjhFXJRu0A7ZogrYhn0nFmUKCUvza/view","","Research Brief, Case study","Land Use","West","Scanable","Unlock Supply","This research brief provides parameters for inclusionary zoning that maintain the intention of the policy, without dampening supply."
"Strategies to Lower Cost and Speed Housing Production: A Case Study of San Francisco 833 Bryant Street Project","Terner Center for Housing Innovation","2021","https://ternercenter.berkeley.edu/wp-content/uploads/2021/02/833-Bryant-February-2021.pdf","","Case study, Research Brief","Financing Projects; Homelessness Prevention","West","Scanable","Unlock Supply","Case example of the advantages of a ministerial approval process, which is one of the ways governmetns can streamline their permitting processes."
"Addressing Vacant and Abandoned properties: Genesee County, MI","Results for America","2023","https://catalog.results4america.org/case-studies/addressing-vacant-and-abandoned-properties-genesee-county-mi","","Case study","Financing Projects","Midwest","Unlock Supply"
"Community Land Trust: Houston, TX","Results for America","2022","http://catalog.results4america.org/case-studies/clt-houston","","Case study","Financing Projects","South","Plain Language","Unlock Supply","For cities considering using a Land Trust to make new housing affordable to residents, this case study examines the advantages and challenges of this approach."
"Charlotte/Mecklenburg County, North Carolina, reduces veteran homelessness by 30%","Community Solutions","2020","https://community.solutions/case-studies/charlotte-mecklenburg-county-north-carolina-reduces-veteran-homelessness-by-30/","","Case study","Homelessness Prevention","South","Plain Language; Scanable","Service Delivery","Example of a city team that asked themselves ""does this red tape need to exist?"" and adjusted accordingly."
"Community Solutions' Homelessness Policy Recommendations","Community Solutions","2024","https://community.solutions/community-solutions-homelessness-policy-recommendations-2/","","Guide or Toolkit","Homelessness Prevention","National","Plain Language; Scanable","Human Centered Design","Shortlist of homeless policies that produce results, based on 10 years of experience in the field."
"Homelessness prevention system: Santa Clara County, CA","Results for America","2023","https://catalog.results4america.org/case-studies/homelessness-prevention-system","","Case study","Homelessness Prevention","South","Plain Language; Scanable","Service Delivery","Detailed case study of how the county was able to break down silos, reduce duplicative work, consolidate funding streams, and empower frontline staff to use their expertise and discretion to achieve desired outcomes."
"How Fairfax, Virginia, diverted 74% of participants from homelessness","Community Solutions","2023","https://community.solutions/case-studies/how-fairfax-virginia-diverted-74-of-participants-from-homelessness/","","Case study","Homelessness Prevention","South","Plain Language; Scanable","Human Centered Design","Example city leaders can reference in building out a comprehensive homelessness prevention strategy that meets residents' needs."
"How Six Cities are Creating Missing Middle Housing","Regional Plan Association","2024","https://rpa.org/work/reports/how-six-cities-are-creating-missing-middle-housing","","Case study","Land Use","National","Plain Language; Scanable","Unlock Supply","Case examples of cities that have addressed ""Missing Middle"" housing that electeds can reference to build support for loosening zoning regulation."
"Improving Impact Fees in California: Rethinking the Nexus Study Requirement","Terner Center for Housing Innovation","2020","https://ternercenter.berkeley.edu/wp-content/uploads/2020/12/Nexus_Studies_November_2020.pdf","","Research Brief, Case study","Innovation in Building","West","Plain Language","Service Delivery","Electeds can use this resource to evalute the trade offs of development fees and determine if they're appropriately aligned with goals for new housing development"
"Elevators","Center for Building in North America","2024","https://admin.centerforbuilding.org/wp-content/uploads/2024/12/Elevatorsexecutivesummary.pdf","","Research Brief","Innovation in Building","National","Plain Language; Scanable","Unlock Supply","Building-code lever that policy makers can pull to reduce construction costs to increase supply."
"Single-Stairway Apartment Buildings Have Strong Safety Record","Pew","2025","https://www.pew.org/en/research-and-analysis/reports/2025/02/small-single-stairway-apartment-buildings-have-strong-safety-record","","Research Brief","Innovation in Building","National","Plain Language; Scanable","Unlock Supply","Building-code lever that policy makers can pull to reduce construction costs to increase supply."
"How do they do it?","National Association of Home Builders","2016","https://www.nahb.org/-/media/NAHB/advocacy/docs/state-and-local/how-did-they-do-it.pdf?rev=9476211b36684475b32477aa924d4997&hash=1D35C30D990C50905FC199B49C5CF3B8","","Research Brief, Case study","Land Use; Financing Projects; Innovation in Building","National","Plain Language; Scanable","Unlock Supply","Building-code lever that policy makers can pull to reduce construction costs to increase supply."
"Designing for Natural Hazards","US Department of Housing and Urban Development","2023","https://www.huduser.gov/portal/publications/Designing-for-Natural-Hazards-Series.html","","Research Brief","Land Use; Climate Resiliency","National","Service Delivery"
"Chicago Parking Reform","City of Chicago","2024","https://www.chicago.gov/city/en/sites/cut-the-tape/home/PolicyInitiatives/ParkingReform.html","","Case study, News Article or Blog","Land Use","Midwest","Plain Language; Scanable","Unlock Supply"
"Introducing the Urban Rooming House","Neiman Taber","2024","https://neimanarchitects.blogspot.com/2024/05/introducing-urban-rooming-house.html","","Case study, News Article or Blog","Innovation in Building; Land Use","National; West","Unlock Supply"
"Innovating in Atlanta: A Social Housing Model for the US","Harvard's Data-Smart City Solutions","2025","http://datasmart.hks.harvard.edu/innovating-atlanta-social-housing-model-us","","Case study","Financing Projects","South","Scanable; Plain Language","Service Delivery","Example of successful consolidatation of public property for new development"
"Launching Online Permitting & Licensing Portal Powerd by Open Gov","City of Scranton","2022","https://scrantonpa.gov/launching-online-permitting-licensing-portal-powered-by-opengov/","","News Article or Blog, Case study","Innovation in Building","Northeast","Plain Language; Scanable","Service Delivery","Moving permitting online not only increased efficiency, but also improved the user experience."
"Connected Communities Ordinance","City of Chicago","2023","https://www.chicago.gov/city/en/sites/equitable-transit-oriented-development/home/connected-communities-ordinance.html","","Case study, Model Policy","Land Use","Midwest","Plain Language; Scanable","Human Centered Design","Describes how one city approached engaging the community to build support for increased density."
"Despite Challenges, Adaptive Reuse Can Elevate Our Neighborhoods","Building Salt Lake","2024","https://buildingsaltlake.com/despite-challenges-adaptive-reuse-can-elevate-our-neighborhoods-opinion/","","News Article or Blog, Case study","Innovation in Building; Land Use","West; National","Plain Language; Scanable","Unlock Supply","Helpful for policymakers considering whether or not to take on an adaptive reuse project as a means of unlocking supply"
"Home Repair and Homeowner Rehabilitation Assistance Programs","NYU Furman Center Housing Solutions Lab","2025","https://www.localhousingsolutions.org/housing-policy-library/homeowner-rehabilitation-assistance-programs/","","Research Brief, Case study","Homelessness Prevention; Homeownership","Northeast","Plain Language; Scanable","Unlock Supply","Keeping available housing units online is key to building supply."
"Rental Registries","NYU Furman Center Housing Solutions Lab","2024","http://localhousingsolutions.org/housing-policy-library/rental-registries/","","Research Brief, Case study","Rental / Tenant Protections; Homelessness Prevention","National","Plain Language; Scanable","Unlock Supply","Research on how rental registries impact the supply of affordable housing."
"Taxing Very High-Value Home Sales Is an Equitable and Effective Strategy to Raise Revenue and Fund Affordable Housing","Center on Budget and Policy Priorities","2024","https://www.cbpp.org/research/housing/taxing-very-high-value-home-sales-is-an-equitable-and-effective-strategy-to-raise#:~:text=to%20affordable%20housing.-,Progressive%20real%20estate%20transfer%20taxes%20on%20high%2Dvalue%20homes%20serve,of%20color%20with%20low%20incomes.","","Research Brief","Financing Projects","National","Plain Language; Scanable","Unlock Supply","Helpful evidence for policymakers investigating alternative funding structures."
"Affordable Housing Overlay Zones: Oakley, CA","Terner Center for Housing Innovation","2019","https://drive.google.com/file/d/1irE_aTnoUZ5guXe9AIXJGvqUm787YLwS/view","","Case study","Land Use","West","Plain Language","Unlock Supply","A more flexible zoning tool for policy makers"
"Density Bonus Model Program Guidelines","Association of Bay Area Governments","2025","https://abag.ca.gov/sites/default/files/documents/2025-04/Density-Bonus-Model-Program-Guidelines-04162025.pdf","","Research Brief","Land Use; Financing Projects; Innovation in Building","West","Plain Language; Easy to Navigate","Service Delivery","Model approach to density bonuses that incentivize increased development in challenging markets."
"Fact Check: New Housing Doesn't Lead to Overcrowded Schools","Shelterforce","2024","https://shelterforce.org/2024/12/03/fact-check-new-housing-doesnt-lead-to-overcrowded-schools/#:~:text=Most%20public%2Dschool%20districts%20receive,more%20students%2C%E2%80%9D%20she%20says.","","Research Brief, News Article or Blog","Land Use","South; West","Plain Language; Scanable","Unlock Supply","Useful evidence for policymakers building support for increased density."
"Is New Housing a School Budget Buster? What Does the Research Say?","Boston Indicators","2024","https://mbtacommunities.bostonindicators.org/is-new-housing-a-school-budget-buster-what-does-the-research-say-and-why-you-shouldnt-worry-too-much-anyway/","","Research Brief, News Article or Blog","Land Use","Northeast","Plain Language; Scanable","Unlock Supply","Useful evidence for policymakers building support for increased density."
"How a Kansas City Neighborhood is Protecting Renters While Investing in Itself","Brookings","2021","https://www.brookings.edu/articles/how-a-kansas-city-neighborhood-is-protecting-renters-while-investing-in-itself/","","Case study","Rental / Tenant Protections; Financing Projects","Midwest","Plain Language","Unlock Supply"
"The Kendall-Whittier Neighborhood Trust","Purpose Built Communities and Growing Together","2025","https://purposebuiltcommunities.org/wp-content/uploads/2025/01/PB-KWNT-Case-Study-FINAL.pdf","","Case study","Rental / Tenant Protections; Financing Projects","Midwest","Plain Language","Unlock Supply"
"The Evolving Landscape of Social Housing in New Englad: What We Learned","Joint Center for Housing Studies of Harvard University","2025","https://www.jchs.harvard.edu/blog/evolving-landscape-social-housing-new-england-what-we-learned","","Case study","Financing Projects","Northeast","Plain Language; Scanable","Human Centered Design","In addition an alternative financial structure, social housing offers an opportunity for cities to design sociable, inclusive communities."
"How are Owner Occupancy Regulations are Contributing to the Housing Crisis.","Brookings","2022","https://www.brookings.edu/articles/how-owner-occupancy-regulations-are-contributing-to-the-housing-crisis/","","Case study","Land Use","National","Unlock Supply"
"An Overview of Rent Stabillitzation from National Housing Experts","The Federal Reserve Bank of Minneapolis","2022","https://www.minneapolisfed.org/article/2022/an-overview-of-rent-stabilization-from-national-housing-experts","","Research Brief","Rental / Tenant Protections","Northeast; West","Unlock Supply"
"Making it Happen: Scaling Off-site Construction","Enterprise Community","2024","https://drive.google.com/file/d/10ISNoROrl7Pcpjzg_alNdi7Ggubyb6jM/view?usp=drive_link","","Research Brief","Innovation in Building; Financing Projects","West; Northeast","Unlock Supply"
"Minneapolis Public Housing Authority Hits Major Milestone in 84-unit Family Housing Project","Minneapolis Public Housing Authority","2023","https://mphaonline.org/news/minneapolis-public-housing-authority-hits-major-milestone-in-84-unit-family-housing-project/","","Case study, News Article or Blog","Innovation in Building","Midwest","Service Delivery"
"Repurposing Under Utilized Strip Malls to Create Multi-Family Housing","Enterprise Community","2023","https://www.enterprisecommunity.org/learning-center/resources/repurposing-underutilized-strip-malls-create-multifamily-housing","","Case study","Innovation in Building","National","Unlock Supply"
"Converting Offices to Tiny Apartments Could Add Low-Cost Housing","Pew","2025","https://www.pew.org/en/research-and-analysis/articles/2025/02/04/converting-offices-to-tiny-apartments-could-add-low-cost-housing","","Case study","Innovation in Building","West; South","Unlock Supply"
"The Impact of Fluctuating Insurance Coverage on Affordable Housing","Center for Public Enterprise","2025","https://publicenterprise.org/wp-content/uploads/The-Impact-of-Fluctuating-Insurance-Coverage-on-Affordable-Housing.pdf","","Research Brief","Financing Projects","National","Service Delivery"
"Combatting Unsheltered Homelessness in Oakland","NYU Furman Center Housing Solutions Lab","2021","https://www.localhousingsolutions.org/housing-policy-case-studies/combatting-unsheltered-homelessness-in-oakland/","","Case study","Homelessness Prevention","West","Service Delivery"
"State and Local Housing Action Plan","National Housing Crisis Task Force","2025","https://nationalhousingcrisis.org/app/uploads/2025/06/State-and-Local-Housing-Action-Plan.pdf","","Guide or Toolkit, Research Brief","Financing Projects; Land Use; Innovation in Building","National","Unlock Supply"
"What Hawaii can learn from California’s long and bumpy road to ADU stardom","The Niskanen Center","2025","https://drive.google.com/file/d/1z8zoAJAn2PQZEn-TzutqTuWpIn-M7mwR/view","","Case study, News Article or Blog","Land Use; Innovation in Building","West","Unlock Supply"
"Understanding single-stair reform efforts across the United States","The Niskanen Center","2024","https://drive.google.com/file/d/16embpbo0t23Yr6kd1jTQv4G9gj6nLClx/view","","News Article or Blog, Research Brief","Innovation in Building","National","Unlock Supply"
"An agenda for abundant housing","The Niskanen Center","2023","https://drive.google.com/file/d/1uEr8c9rVeGQB2eAnbjswCdrvrh3uCe8P/view","","Research Brief","State Capacity","National","Unlock Supply"
"How to build more family-sized apartments","The Niskanen Center","2022","https://drive.google.com/file/d/1p5LATslWZXPs1K76TQmyrkabeMpe69ll/view","","News Article or Blog","Land Use; Innovation in Building","National","Unlock Supply"
